1000
0.03031 0.11309 -0.03105 
0.69488 0.37009 0.08386 
0.46266 0.18308 0.06204 
0.69822 0.21537 -0.00781 
0.63958 0.85829 -0.01673 
0.21782 0.48320 -0.00948 
0.08868 0.45724 0.03002 
0.99835 0.40747 -0.00312 
0.28188 0.60196 0.08116 
0.21215 0.91114 0.02170 
0.89045 0.68077 0.02719 
0.71088 0.55203 0.08969 
0.95122 0.86687 -0.01897 
0.05546 0.36011 0.04081 
0.49079 0.42677 0.02252 
0.99626 0.92585 -0.02319 
0.40461 0.30331 0.00528 
0.32532 0.34888 0.07634 
0.63784 0.20736 0.04527 
0.27255 0.90637 -0.02530 
0.96480 0.70273 0.01461 
0.86768 0.55056 -0.02802 
0.91400 0.01862 -0.02688 
0.94004 0.59472 0.04442 
0.63549 0.57394 -0.07366 
0.67773 0.19695 -0.00117 
0.75748 0.44800 0.03634 
0.91840 0.50128 0.03555 
0.52911 0.28176 -0.02429 
0.59325 0.54527 -0.18104 
0.79622 0.34423 -0.05284 
0.99624 0.29370 -0.01760 
0.60700 0.74820 0.06600 
0.80044 0.40750 -0.04750 
0.49441 0.04978 -0.04058 
0.99323 0.60749 0.00086 
0.73221 0.71613 -0.00054 
0.15236 0.74216 -0.00164 
0.11149 0.19571 0.04053 
0.73473 0.91901 -0.01247 
0.03465 0.57545 0.03294 
0.29970 0.30863 0.06140 
0.97357 0.05918 -0.02927 
0.83887 0.48109 -0.05810 
0.58891 0.75178 0.05942 
0.63419 0.38390 -0.02931 
0.05749 0.48331 0.04512 
0.31620 0.32099 0.07792 
0.40444 0.65761 -0.05766 
0.04444 0.54193 0.04113 
0.88725 0.35962 0.01489 
0.98174 0.30102 -0.00221 
0.72830 0.20597 -0.04140 
0.48432 0.49538 1.00000 
0.74303 0.67297 0.01059 
0.67965 0.24155 0.03617 
0.66040 0.88663 -0.04282 
0.35381 0.99996 -0.00669 
0.18265 0.10893 0.03135 
0.32031 0.10657 -0.04616 
0.08121 0.40473 0.03923 
0.69232 0.82120 -0.02854 
0.87556 0.22376 0.03557 
0.72993 0.25173 -0.01905 
0.89203 0.88200 0.02274 
0.18463 0.76376 -0.02875 
0.74933 0.17682 -0.04851 
0.31265 0.73489 0.04645 
0.56771 0.62038 -0.14450 
0.97917 0.76321 -0.01432 
0.44864 0.02546 -0.04125 
0.52518 0.68917 -0.07960 
0.02188 0.42825 0.02119 
0.31893 0.04035 -0.01842 
0.10676 0.58246 0.01225 
0.16387 0.75847 -0.00816 
0.78467 0.50904 -0.01393 
0.98481 0.31798 -0.00194 
0.42950 0.83597 0.04357 
0.46437 0.59558 -0.10912 
0.49298 0.91246 -0.01877 
0.55145 0.10022 -0.01338 
0.09176 0.93191 -0.00940 
0.01368 0.42266 0.01181 
0.69318 0.54811 0.07452 
0.45563 0.01429 -0.03823 
0.44647 0.71889 -0.00711 
0.47479 0.65431 -0.12787 
0.95638 0.76172 0.00785 
0.87709 0.21483 0.03769 
0.54607 0.85564 0.03253 
0.12382 0.58315 -0.01166 
0.30611 0.47378 0.07308 
0.43195 0.85067 0.03074 
0.47652 0.48095 0.47692 
0.19957 0.12780 0.01241 
0.95863 0.88070 -0.02637 
0.67848 0.59414 0.06197 
0.00378 0.44605 0.00242 
0.06565 0.64349 0.04367 
0.37559 0.71852 0.06223 
0.43554 0.23287 0.05846 
0.53277 0.10957 -0.00048 
0.18512 0.79508 -0.01421 
0.62930 0.08907 -0.04222 
0.91341 0.32407 0.04173 
0.37888 0.69495 0.04007 
0.90756 0.49259 0.02493 
0.08048 0.84861 0.01341 
0.65714 0.91136 -0.04529 
0.35195 0.21033 0.03987 
0.06870 0.88928 -0.01130 
0.36846 0.55906 -0.10034 
0.30241 0.30401 0.06152 
0.65274 0.93105 -0.04270 
